year,id_,marital,childs,age,degree,sex,happy,satjob,realrinc,ballot
2016,65,Never married,2,27,High school,FEMALE,Pretty happy,.d:  Do not Know/Cannot Choose,-100.0,Ballot a
2016,66,Never married,2,30,Less than high school,MALE,Pretty happy,A little dissatisfied,12870.0,Ballot c
2016,67,Never married,2,29,High school,MALE,Pretty happy,Moderately satisfied,11115.0,Ballot b
2016,68,Never married,6,39,Less than high school,FEMALE,Not too happy,.i:  Inapplicable,-100.0,Ballot a
2016,69,Divorced,3,60,Less than high school,FEMALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot a
2016,70,Widowed,4,74,Less than high school,FEMALE,Not too happy,.i:  Inapplicable,-100.0,Ballot a
2016,71,Never married,5,74,Less than high school,FEMALE,Not too happy,.i:  Inapplicable,-100.0,Ballot a
2016,72,Divorced,2,57,Bachelor's,FEMALE,Very happy,.i:  Inapplicable,38610.0,Ballot a
2016,73,Widowed,1,80,High school,MALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot b
2016,74,Divorced,4,70,High school,MALE,Not too happy,.i:  Inapplicable,-100.0,Ballot b
2016,75,Married,2,35,Bachelor's,FEMALE,Very happy,Very satisfied,21060.0,Ballot a
2016,76,Never married,4,49,Less than high school,FEMALE,Not too happy,Moderately satisfied,-100.0,Ballot b
2016,77,Never married,0,36,Graduate,FEMALE,Pretty happy,Very satisfied,25740.0,Ballot a
2016,78,Never married,0,37,Graduate,FEMALE,Pretty happy,.i:  Inapplicable,31590.0,Ballot a
2016,79,Widowed,0,78,Graduate,FEMALE,Very happy,.i:  Inapplicable,-100.0,Ballot c
2016,80,Never married,0,41,High school,MALE,Very happy,Very satisfied,-100.0,Ballot c
2016,81,Married,2,42,Associate/junior college,MALE,Pretty happy,.i:  Inapplicable,74880.0,Ballot a
2016,82,Separated,1,35,Associate/junior college,FEMALE,Not too happy,Moderately satisfied,31590.0,Ballot c
2016,83,Married,1,33,Bachelor's,MALE,Very happy,.i:  Inapplicable,56160.0,Ballot a
2016,84,Divorced,3,44,High school,MALE,Very happy,Very satisfied,38610.0,Ballot c
2016,85,Married,3,41,Associate/junior college,MALE,Pretty happy,Very satisfied,25740.0,Ballot c
2016,86,Divorced,2,52,High school,MALE,Pretty happy,Moderately satisfied,21060.0,Ballot a
2016,87,Never married,0,45,Bachelor's,FEMALE,Pretty happy,Very dissatisfied,38610.0,Ballot b
2016,88,Divorced,1,41,High school,FEMALE,Pretty happy,A little dissatisfied,11115.0,Ballot a
2016,89,Separated,3,41,High school,FEMALE,Very happy,Moderately satisfied,8775.0,Ballot c
2016,90,Never married,0,68,High school,MALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot c
2016,91,Never married,3,57,High school,FEMALE,Pretty happy,.d:  Do not Know/Cannot Choose,-100.0,Ballot b
2016,92,Married,3,72,Graduate,MALE,Very happy,Very satisfied,-100.0,Ballot c
