year,id_,marital,childs,age,degree,sex,happy,satjob,realrinc,ballot
2016,88,divorced,1,41,high school,female,pretty happy,a little dissatisfied,11115,ballot a
2016,89,separated,3,41,high school,female,very happy,moderately satisfied,8775,ballot c
2016,90,never married,0,68,high school,male,pretty happy,NA,NA,ballot c
2016,91,never married,3,57,high school,female,pretty happy,NA,NA,ballot b
2016,92,married,3,72,graduate,male,very happy,very satisfied,NA,ballot c
2016,93,divorced,0,68,graduate,male,pretty happy,NA,NA,ballot a
2016,94,never married,0,50,bachelor's,male,pretty happy,very satisfied,46800,ballot c
2016,95,never married,0,40,graduate,male,pretty happy,very satisfied,65520,ballot c
2016,96,never married,0,58,high school,male,pretty happy,NA,25740,ballot b
2016,97,never married,0,43,high school,male,pretty happy,a little dissatisfied,9945,ballot b
2016,98,never married,0,25,bachelor's,male,very happy,very dissatisfied,3042,ballot b
2016,99,never married,0,33,graduate,male,pretty happy,very satisfied,4212,ballot c
2016,100,never married,0,27,bachelor's,male,pretty happy,moderately satisfied,31590,ballot c
2016,101,married,2,58,bachelor's,female,pretty happy,very satisfied,15210,ballot c
2016,102,married,4,66,high school,female,pretty happy,NA,NA,ballot b
2016,103,separated,0,66,high school,male,pretty happy,NA,NA,ballot a
2016,104,widowed,2,NA,high school,female,pretty happy,NA,NA,ballot c
2016,105,married,2,29,associate/junior college,female,pretty happy,very satisfied,NA,ballot c
2016,106,never married,0,NA,less than high school,female,pretty happy,NA,NA,ballot a
2016,107,never married,0,78,high school,female,pretty happy,NA,NA,ballot c
2016,108,never married,3,52,high school,female,not too happy,very satisfied,NA,ballot a
2016,109,never married,0,50,high school,male,pretty happy,NA,NA,ballot a
2016,110,married,1,25,bachelor's,female,very happy,moderately satisfied,NA,ballot c
2016,111,married,2,37,bachelor's,male,pretty happy,moderately satisfied,65520,ballot a
2016,112,divorced,2,54,bachelor's,female,very happy,moderately satisfied,NA,ballot c
2016,113,married,3,52,associate/junior college,male,pretty happy,NA,NA,ballot a
